questao_id,modelo,ano,area,tem_imagem,alternativa,gabarito,acertou
enem-2025-01,groq-llama-8b,2025,linguagens,0,D,D,1
enem-2025-02,groq-llama-8b,2025,linguagens,0,D,D,1
enem-2025-03,groq-llama-8b,2025,linguagens,0,D,D,1
enem-2025-04,groq-llama-8b,2025,linguagens,0,E,E,1
enem-2025-06,groq-llama-8b,2025,linguagens,0,A,E,0
enem-2025-07,groq-llama-8b,2025,linguagens,0,C,C,1
enem-2025-08,groq-llama-8b,2025,linguagens,0,E,D,0
enem-2025-09,groq-llama-8b,2025,linguagens,0,E,C,0
enem-2025-10,groq-llama-8b,2025,linguagens,0,C,E,0
enem-2025-11,groq-llama-8b,2025,linguagens,0,C,B,0
enem-2025-12,groq-llama-8b,2025,linguagens,0,C,C,1
enem-2025-13,groq-llama-8b,2025,linguagens,0,C,E,0
enem-2025-16,groq-llama-8b,2025,linguagens,0,E,E,1
enem-2025-17,groq-llama-8b,2025,linguagens,0,B,C,0
enem-2025-18,groq-llama-8b,2025,linguagens,0,A,A,1
enem-2025-19,groq-llama-8b,2025,linguagens,0,E,E,1
enem-2025-20,groq-llama-8b,2025,linguagens,0,D,B,0
enem-2025-21,groq-llama-8b,2025,linguagens,0,B,C,0
enem-2025-25,groq-llama-8b,2025,linguagens,0,B,E,0
enem-2025-27,groq-llama-8b,2025,linguagens,0,A,A,1
enem-2025-28,groq-llama-8b,2025,linguagens,0,B,B,1
enem-2025-29,groq-llama-8b,2025,linguagens,0,A,A,1
enem-2025-30,groq-llama-8b,2025,linguagens,0,A,B,0
enem-2025-32,groq-llama-8b,2025,linguagens,0,E,E,1
enem-2025-35,groq-llama-8b,2025,linguagens,0,A,E,0
enem-2025-36,groq-llama-8b,2025,linguagens,0,D,D,1
enem-2025-37,groq-llama-8b,2025,linguagens,0,D,A,0
enem-2025-38,groq-llama-8b,2025,linguagens,0,D,B,0
enem-2025-39,groq-llama-8b,2025,linguagens,0,C,C,1
enem-2025-40,groq-llama-8b,2025,linguagens,0,A,A,1
enem-2025-42,groq-llama-8b,2025,linguagens,0,C,A,0
enem-2025-43,groq-llama-8b,2025,linguagens,0,D,D,1
enem-2025-44,groq-llama-8b,2025,linguagens,0,D,D,1
enem-2025-46,groq-llama-8b,2025,humanas,0,A,E,0
enem-2025-48,groq-llama-8b,2025,humanas,0,B,E,0
enem-2025-50,groq-llama-8b,2025,humanas,0,A,A,1
enem-2025-51,groq-llama-8b,2025,humanas,0,D,D,1
enem-2025-52,groq-llama-8b,2025,humanas,0,C,C,1
enem-2025-53,groq-llama-8b,2025,humanas,0,E,E,1
enem-2025-54,groq-llama-8b,2025,humanas,0,E,E,1
enem-2025-55,groq-llama-8b,2025,humanas,0,D,D,1
enem-2025-56,groq-llama-8b,2025,humanas,0,C,C,1
enem-2025-57,groq-llama-8b,2025,humanas,0,A,A,1
enem-2025-58,groq-llama-8b,2025,humanas,0,D,D,1
enem-2025-59,groq-llama-8b,2025,humanas,0,B,B,1
enem-2025-60,groq-llama-8b,2025,humanas,0,D,D,1
enem-2025-61,groq-llama-8b,2025,humanas,0,A,E,0
enem-2025-62,groq-llama-8b,2025,humanas,0,B,B,1
enem-2025-64,groq-llama-8b,2025,humanas,0,C,A,0
enem-2025-65,groq-llama-8b,2025,humanas,0,C,C,1
enem-2025-66,groq-llama-8b,2025,humanas,0,D,D,1
enem-2025-67,groq-llama-8b,2025,humanas,0,D,D,1
enem-2025-69,groq-llama-8b,2025,humanas,0,A,C,0
