questao_id,modelo,ano,area,tem_imagem,alternativa,gabarito,acertou
enem-2022-02,groq-llama-8b,2022,linguagens,0,D,D,1
enem-2022-03,groq-llama-8b,2022,linguagens,0,E,E,1
enem-2022-04,groq-llama-8b,2022,linguagens,0,C,C,1
enem-2022-05,groq-llama-8b,2022,linguagens,0,D,D,1
enem-2022-06,groq-llama-8b,2022,linguagens,0,C,C,1
enem-2022-07,groq-llama-8b,2022,linguagens,0,C,C,1
enem-2022-08,groq-llama-8b,2022,linguagens,0,B,C,0
enem-2022-09,groq-llama-8b,2022,linguagens,0,D,D,1
enem-2022-10,groq-llama-8b,2022,linguagens,0,C,C,1
enem-2022-11,groq-llama-8b,2022,linguagens,0,C,C,1
enem-2022-12,groq-llama-8b,2022,linguagens,0,B,E,0
enem-2022-13,groq-llama-8b,2022,linguagens,0,B,B,1
enem-2022-14,groq-llama-8b,2022,linguagens,0,C,A,0
enem-2022-15,groq-llama-8b,2022,linguagens,0,C,C,1
enem-2022-17,groq-llama-8b,2022,linguagens,0,B,B,1
enem-2022-19,groq-llama-8b,2022,linguagens,0,D,A,0
enem-2022-21,groq-llama-8b,2022,linguagens,0,D,E,0
enem-2022-22,groq-llama-8b,2022,linguagens,0,E,E,1
enem-2022-23,groq-llama-8b,2022,linguagens,0,C,C,1
enem-2022-24,groq-llama-8b,2022,linguagens,0,A,A,1
enem-2022-25,groq-llama-8b,2022,linguagens,0,B,B,1
enem-2022-26,groq-llama-8b,2022,linguagens,0,A,A,1
enem-2022-29,groq-llama-8b,2022,linguagens,0,C,E,0
enem-2022-31,groq-llama-8b,2022,linguagens,0,E,E,1
enem-2022-32,groq-llama-8b,2022,linguagens,0,B,B,1
enem-2022-33,groq-llama-8b,2022,linguagens,0,E,E,1
enem-2022-34,groq-llama-8b,2022,linguagens,0,E,E,1
enem-2022-35,groq-llama-8b,2022,linguagens,0,C,D,0
enem-2022-36,groq-llama-8b,2022,linguagens,0,C,C,1
enem-2022-37,groq-llama-8b,2022,linguagens,0,A,A,1
enem-2022-38,groq-llama-8b,2022,linguagens,0,D,D,1
enem-2022-39,groq-llama-8b,2022,linguagens,0,B,B,1
enem-2022-40,groq-llama-8b,2022,linguagens,0,D,D,1
enem-2022-41,groq-llama-8b,2022,linguagens,0,B,B,1
enem-2022-42,groq-llama-8b,2022,linguagens,0,D,D,1
enem-2022-45,groq-llama-8b,2022,linguagens,0,A,A,1
enem-2022-46,groq-llama-8b,2022,humanas,0,B,C,0
enem-2022-47,groq-llama-8b,2022,humanas,0,B,B,1
enem-2022-48,groq-llama-8b,2022,humanas,0,E,E,1
enem-2022-49,groq-llama-8b,2022,humanas,0,C,C,1
enem-2022-50,groq-llama-8b,2022,humanas,0,A,A,1
enem-2022-52,groq-llama-8b,2022,humanas,0,B,B,1
