questao_id,modelo,ano,area,tem_imagem,alternativa,gabarito,acertou
enem-2025-01,groq-llama4-scout,2025,linguagens,0,D,D,1
enem-2025-02,groq-llama4-scout,2025,linguagens,0,D,D,1
enem-2025-03,groq-llama4-scout,2025,linguagens,0,D,D,1
enem-2025-04,groq-llama4-scout,2025,linguagens,0,E,E,1
enem-2025-05,groq-llama4-scout,2025,linguagens,1,B,A,0
enem-2025-06,groq-llama4-scout,2025,linguagens,0,E,E,1
enem-2025-07,groq-llama4-scout,2025,linguagens,0,C,C,1
enem-2025-08,groq-llama4-scout,2025,linguagens,0,E,D,0
enem-2025-09,groq-llama4-scout,2025,linguagens,0,C,C,1
enem-2025-10,groq-llama4-scout,2025,linguagens,0,E,E,1
enem-2025-11,groq-llama4-scout,2025,linguagens,0,A,B,0
enem-2025-12,groq-llama4-scout,2025,linguagens,0,C,C,1
enem-2025-13,groq-llama4-scout,2025,linguagens,0,E,E,1
enem-2025-14,groq-llama4-scout,2025,linguagens,1,C,C,1
enem-2025-15,groq-llama4-scout,2025,linguagens,1,A,A,1
enem-2025-16,groq-llama4-scout,2025,linguagens,0,E,E,1
enem-2025-17,groq-llama4-scout,2025,linguagens,0,C,C,1
enem-2025-18,groq-llama4-scout,2025,linguagens,0,A,A,1
enem-2025-19,groq-llama4-scout,2025,linguagens,0,E,E,1
enem-2025-20,groq-llama4-scout,2025,linguagens,0,B,B,1
enem-2025-21,groq-llama4-scout,2025,linguagens,0,C,C,1
enem-2025-22,groq-llama4-scout,2025,linguagens,1,B,B,1
enem-2025-23,groq-llama4-scout,2025,linguagens,1,C,C,1
enem-2025-24,groq-llama4-scout,2025,linguagens,1,D,B,0
enem-2025-25,groq-llama4-scout,2025,linguagens,0,B,E,0
enem-2025-26,groq-llama4-scout,2025,linguagens,1,B,B,1
enem-2025-27,groq-llama4-scout,2025,linguagens,0,A,A,1
enem-2025-28,groq-llama4-scout,2025,linguagens,0,A,B,0
enem-2025-29,groq-llama4-scout,2025,linguagens,0,A,A,1
enem-2025-30,groq-llama4-scout,2025,linguagens,0,D,B,0
enem-2025-31,groq-llama4-scout,2025,linguagens,1,D,D,1
enem-2025-32,groq-llama4-scout,2025,linguagens,0,E,E,1
enem-2025-33,groq-llama4-scout,2025,linguagens,1,B,B,1
enem-2025-34,groq-llama4-scout,2025,linguagens,1,C,C,1
enem-2025-35,groq-llama4-scout,2025,linguagens,0,A,E,0
enem-2025-36,groq-llama4-scout,2025,linguagens,0,D,D,1
enem-2025-37,groq-llama4-scout,2025,linguagens,0,D,A,0
enem-2025-38,groq-llama4-scout,2025,linguagens,0,B,B,1
enem-2025-39,groq-llama4-scout,2025,linguagens,0,C,C,1
enem-2025-40,groq-llama4-scout,2025,linguagens,0,C,A,0
enem-2025-41,groq-llama4-scout,2025,linguagens,1,D,B,0
enem-2025-42,groq-llama4-scout,2025,linguagens,0,C,A,0
enem-2025-43,groq-llama4-scout,2025,linguagens,0,D,D,1
enem-2025-44,groq-llama4-scout,2025,linguagens,0,D,D,1
enem-2025-45,groq-llama4-scout,2025,linguagens,1,C,C,1
enem-2025-46,groq-llama4-scout,2025,humanas,0,E,E,1
enem-2025-47,groq-llama4-scout,2025,humanas,1,D,D,1
enem-2025-48,groq-llama4-scout,2025,humanas,0,E,E,1
enem-2025-49,groq-llama4-scout,2025,humanas,1,C,C,1
enem-2025-50,groq-llama4-scout,2025,humanas,0,A,A,1
enem-2025-51,groq-llama4-scout,2025,humanas,0,D,D,1
enem-2025-52,groq-llama4-scout,2025,humanas,0,C,C,1
enem-2025-53,groq-llama4-scout,2025,humanas,0,E,E,1
enem-2025-54,groq-llama4-scout,2025,humanas,0,E,E,1
enem-2025-55,groq-llama4-scout,2025,humanas,0,D,D,1
enem-2025-56,groq-llama4-scout,2025,humanas,0,C,C,1
enem-2025-57,groq-llama4-scout,2025,humanas,0,A,A,1
enem-2025-58,groq-llama4-scout,2025,humanas,0,D,D,1
enem-2025-59,groq-llama4-scout,2025,humanas,0,B,B,1
enem-2025-60,groq-llama4-scout,2025,humanas,0,D,D,1
enem-2025-61,groq-llama4-scout,2025,humanas,0,E,E,1
enem-2025-62,groq-llama4-scout,2025,humanas,0,B,B,1
enem-2025-63,groq-llama4-scout,2025,humanas,1,B,B,1
enem-2025-64,groq-llama4-scout,2025,humanas,0,C,A,0
enem-2025-65,groq-llama4-scout,2025,humanas,0,C,C,1
enem-2025-66,groq-llama4-scout,2025,humanas,0,D,D,1
enem-2025-67,groq-llama4-scout,2025,humanas,0,D,D,1
enem-2025-68,groq-llama4-scout,2025,humanas,1,B,E,0
enem-2025-69,groq-llama4-scout,2025,humanas,0,C,C,1
enem-2025-70,groq-llama4-scout,2025,humanas,0,B,B,1
enem-2025-71,groq-llama4-scout,2025,humanas,0,A,A,1
enem-2025-72,groq-llama4-scout,2025,humanas,0,D,D,1
enem-2025-73,groq-llama4-scout,2025,humanas,0,A,A,1
enem-2025-74,groq-llama4-scout,2025,humanas,0,B,B,1
enem-2025-75,groq-llama4-scout,2025,humanas,0,B,B,1
enem-2025-76,groq-llama4-scout,2025,humanas,0,C,C,1
enem-2025-77,groq-llama4-scout,2025,humanas,1,A,A,1
enem-2025-78,groq-llama4-scout,2025,humanas,0,B,B,1
enem-2025-79,groq-llama4-scout,2025,humanas,0,A,A,1
enem-2025-80,groq-llama4-scout,2025,humanas,0,C,C,1
enem-2025-81,groq-llama4-scout,2025,humanas,0,E,E,1
enem-2025-82,groq-llama4-scout,2025,humanas,0,E,E,1
enem-2025-83,groq-llama4-scout,2025,humanas,0,D,D,1
enem-2025-84,groq-llama4-scout,2025,humanas,0,D,D,1
enem-2025-85,groq-llama4-scout,2025,humanas,0,B,B,1
enem-2025-86,groq-llama4-scout,2025,humanas,0,C,C,1
enem-2025-87,groq-llama4-scout,2025,humanas,0,B,B,1
enem-2025-88,groq-llama4-scout,2025,humanas,0,C,C,1
enem-2025-89,groq-llama4-scout,2025,humanas,0,E,E,1
enem-2025-90,groq-llama4-scout,2025,humanas,0,A,A,1
enem-2025-91,groq-llama4-scout,2025,natureza,1,D,D,1
enem-2025-92,groq-llama4-scout,2025,natureza,0,D,D,1
enem-2025-93,groq-llama4-scout,2025,natureza,0,C,C,1
enem-2025-94,groq-llama4-scout,2025,natureza,1,B,D,0
enem-2025-95,groq-llama4-scout,2025,natureza,0,C,C,1
enem-2025-96,groq-llama4-scout,2025,natureza,0,B,B,1
enem-2025-97,groq-llama4-scout,2025,natureza,1,D,D,1
enem-2025-98,groq-llama4-scout,2025,natureza,0,D,D,1
enem-2025-99,groq-llama4-scout,2025,natureza,0,C,C,1
enem-2025-100,groq-llama4-scout,2025,natureza,0,D,D,1
enem-2025-101,groq-llama4-scout,2025,natureza,0,A,A,1
enem-2025-102,groq-llama4-scout,2025,natureza,0,E,E,1
enem-2025-103,groq-llama4-scout,2025,natureza,0,A,A,1
enem-2025-104,groq-llama4-scout,2025,natureza,0,A,A,1
enem-2025-105,groq-llama4-scout,2025,natureza,1,E,E,1
enem-2025-106,groq-llama4-scout,2025,natureza,1,A,A,1
enem-2025-107,groq-llama4-scout,2025,natureza,1,B,E,0
enem-2025-108,groq-llama4-scout,2025,natureza,1,D,C,0
enem-2025-109,groq-llama4-scout,2025,natureza,1,E,E,1
